Country name,Year,Type of Disaster,Value
Afghanistan,1900,Drought,0.0
Afghanistan,1910,Drought,0.0
Afghanistan,1920,Drought,0.0
Afghanistan,1930,Drought,0.0
Afghanistan,1940,Drought,0.0
Afghanistan,1950,Drought,0.0
Afghanistan,1960,Drought,0.0
Afghanistan,1970,Drought,0.0
Afghanistan,1980,Drought,0.0
Afghanistan,1990,Drought,0.0
Afghanistan,2000,Drought,3.7
Afghanistan,2010,Drought,0.0
Afghanistan,2020,Drought,0.0
Africa,1900,Drought,1100.0
Africa,1910,Drought,8500.0
Africa,1920,Drought,2400.0
Africa,1930,Drought,0.0
Africa,1940,Drought,5000.0
Africa,1950,Drought,0.0
Africa,1960,Drought,205.0
Africa,1970,Drought,11900.0
Africa,1980,Drought,55482.7
Africa,1990,Drought,16.0
Africa,2000,Drought,109.4
Africa,2010,Drought,2000.0
Africa,2020,Drought,493.0
Albania,1900,Drought,0.0
Albania,1910,Drought,0.0
Albania,1920,Drought,0.0
Albania,1930,Drought,0.0
Albania,1940,Drought,0.0
Albania,1950,Drought,0.0
Albania,1960,Drought,0.0
Albania,1970,Drought,0.0
Albania,1980,Drought,0.0
Albania,1990,Drought,0.0
Albania,2000,Drought,0.0
Albania,2010,Drought,0.0
Albania,2020,Drought,0.0
Algeria,1900,Drought,0.0
Algeria,1910,Drought,0.0
Algeria,1920,Drought,0.0
Algeria,1930,Drought,0.0
Algeria,1940,Drought,0.0
Algeria,1950,Drought,0.0
Algeria,1960,Drought,0.0
Algeria,1970,Drought,0.0
Algeria,1980,Drought,0.0
Algeria,1990,Drought,0.0
Algeria,2000,Drought,0.0
Algeria,2010,Drought,0.0
Algeria,2020,Drought,0.0
American Samoa,1900,Drought,0.0
American Samoa,1910,Drought,0.0
American Samoa,1920,Drought,0.0
American Samoa,1930,Drought,0.0
American Samoa,1940,Drought,0.0
American Samoa,1950,Drought,0.0
American Samoa,1960,Drought,0.0
American Samoa,1970,Drought,0.0
American Samoa,1980,Drought,0.0
American Samoa,1990,Drought,0.0
American Samoa,2000,Drought,0.0
American Samoa,2010,Drought,0.0
American Samoa,2020,Drought,0.0
Angola,1900,Drought,0.0
Angola,1910,Drought,0.0
Angola,1920,Drought,0.0
Angola,1930,Drought,0.0
Angola,1940,Drought,0.0
Angola,1950,Drought,0.0
Angola,1960,Drought,0.0
Angola,1970,Drought,0.0
Angola,1980,Drought,0.0
Angola,1990,Drought,0.0
Angola,2000,Drought,5.8
Angola,2010,Drought,0.0
Angola,2020,Drought,0.0
Anguilla,1900,Drought,0.0
Anguilla,1910,Drought,0.0
Anguilla,1920,Drought,0.0
Anguilla,1930,Drought,0.0
Anguilla,1940,Drought,0.0
Anguilla,1950,Drought,0.0
Anguilla,1960,Drought,0.0
Anguilla,1970,Drought,0.0
Anguilla,1980,Drought,0.0
Anguilla,1990,Drought,0.0
Anguilla,2000,Drought,0.0
Anguilla,2010,Drought,0.0
Anguilla,2020,Drought,0.0
Antigua and Barbuda,1900,Drought,0.0
Antigua and Barbuda,1910,Drought,0.0
Antigua and Barbuda,1920,Drought,0.0
Antigua and Barbuda,1930,Drought,0.0
Antigua and Barbuda,1940,Drought,0.0
Antigua and Barbuda,1950,Drought,0.0
Antigua and Barbuda,1960,Drought,0.0
Antigua and Barbuda,1970,Drought,0.0
Antigua and Barbuda,1980,Drought,0.0
Antigua and Barbuda,1990,Drought,0.0
Antigua and Barbuda,2000,Drought,0.0
Antigua and Barbuda,2010,Drought,0.0
Antigua and Barbuda,2020,Drought,0.0
Argentina,1900,Drought,0.0
Argentina,1910,Drought,0.0
Argentina,1920,Drought,0.0
Argentina,1930,Drought,0.0
Argentina,1940,Drought,0.0
Argentina,1950,Drought,0.0
Argentina,1960,Drought,0.0
Argentina,1970,Drought,0.0
Argentina,1980,Drought,0.0
Argentina,1990,Drought,0.0
Argentina,2000,Drought,0.0
Argentina,2010,Drought,0.2
Argentina,2020,Drought,1.2
Armenia,1900,Drought,0.0
Armenia,1910,Drought,0.0
Armenia,1920,Drought,0.0
Armenia,1930,Drought,0.0
Armenia,1940,Drought,0.0
Armenia,1950,Drought,0.0
Armenia,1960,Drought,0.0
Armenia,1970,Drought,0.0
Armenia,1980,Drought,0.0
Armenia,1990,Drought,0.0
Armenia,2000,Drought,0.0
Armenia,2010,Drought,0.0
Armenia,2020,Drought,0.0
Asia,1900,Drought,125000.0
Asia,1910,Drought,0.0
