Entity,Code,Year,Fossil fuels (TWh)
Asia,,1965,4948.0674
Asia,,1966,5443.6274
Asia,,1967,5708.204
Asia,,1968,6120.083
Asia,,1969,7068.554
Asia,,1970,8107.4604
Asia,,1971,8824.506
Asia,,1972,9478.627
Asia,,1973,10306.196
Asia,,1974,10396.168
Asia,,1975,10875.582
Asia,,1976,11518.939
Asia,,1977,12292.05
Asia,,1978,12989.639
Asia,,1979,13574.057
Asia,,1980,13476.989
Asia,,1981,13608.703
Asia,,1982,13905.928
Asia,,1983,14671.704
Asia,,1984,15644.347
Asia,,1985,18350.756
Asia,,1986,19127.303
Asia,,1987,20263.871
Asia,,1988,21650.354
Asia,,1989,22680.932
Asia,,1990,23486.611
Asia,,1991,24464.652
Asia,,1992,25625.89
Asia,,1993,26566.8
Asia,,1994,27997.145
Asia,,1995,29011.318
Asia,,1996,30362.8
Asia,,1997,31253.16
Asia,,1998,31163.203
Asia,,1999,32263.5
Asia,,2000,33631.03
Asia,,2001,34746.152
Asia,,2002,36525.598
Asia,,2003,39748.08
Asia,,2004,43418.66
Asia,,2005,46903.18
Asia,,2006,49548.7
Asia,,2007,52738.93
Asia,,2008,54270.5
Asia,,2009,55510.65
Asia,,2010,58837.96
Asia,,2011,62228.543
Asia,,2012,64400.42
Asia,,2013,65723.4
Asia,,2014,67087.69
Asia,,2015,67962.94
Asia,,2016,68453.74
Asia,,2017,70791.96
Asia,,2018,72870.516
Asia,,2019,74285.66
Asia,,2020,73325.14
Asia,,2021,76589.516
Asia,,2022,77961.62
Asia,,2023,81054.9
Europe,,1965,18077.93
Europe,,1966,18760.377
Europe,,1967,19503.375
Europe,,1968,20557.05
Europe,,1969,21891.875
Europe,,1970,23187.244
Europe,,1971,23990.963
Europe,,1972,25132.324
Europe,,1973,26548.406
Europe,,1974,26688.764
Europe,,1975,26921.375
Europe,,1976,28316.693
Europe,,1977,28784.404
Europe,,1978,29889.352
Europe,,1979,30843.928
Europe,,1980,30497.734
Europe,,1981,29962.865
Europe,,1982,29837.734
Europe,,1983,30021.225
Europe,,1984,30568.84
Europe,,1985,29199.531
Europe,,1986,29678.676
Europe,,1987,30208.646
Europe,,1988,30284.656
Europe,,1989,30282.738
Europe,,1990,30245.176
Europe,,1991,29729.723
Europe,,1992,28394.906
Europe,,1993,27064.977
Europe,,1994,25815.785
Europe,,1995,25673.336
Europe,,1996,25853.516
Europe,,1997,25198.645
Europe,,1998,25281.39
Europe,,1999,25127.695
Europe,,2000,25336.162
Europe,,2001,25620.809
Europe,,2002,25577.166
Europe,,2003,26144.812
Europe,,2004,26336.95
Europe,,2005,26395.023
Europe,,2006,26797.47
Europe,,2007,26565.65
Europe,,2008,26325.479
Europe,,2009,24436.15
Europe,,2010,25333.566
Europe,,2011,25029.684
Europe,,2012,24705.21
Europe,,2013,24183.441
Europe,,2014,23162.29
Europe,,2015,23063.387
Europe,,2016,23419.133
Europe,,2017,23647.973
Europe,,2018,23735.219
Europe,,2019,23184.416
Europe,,2020,21166.598
Europe,,2021,22159.934
Europe,,2022,21909.145
Europe,,2023,21119.719
North America,,1965,15347.377
North America,,1966,16218.936
North America,,1967,16736.898
North America,,1968,17775.72
North America,,1969,18647.773
North America,,1970,19414.338
North America,,1971,19756.76
North America,,1972,20769.418
North America,,1973,21688.46
North America,,1974,21083.064
North America,,1975,20408.438
North America,,1976,21554.375
North America,,1977,22218.775
North America,,1978,22515.379
North America,,1979,22916.947
North America,,1980,22209.535
North America,,1981,21591.08
North America,,1982,20556.459
North America,,1983,20294.574
North America,,1984,21344.818
North America,,1985,21277.691
North America,,1986,21306.297
North America,,1987,22083.566
North America,,1988,23046.486
North America,,1989,23565.133
North America,,1990,23375.38
North America,,1991,23215.152
North America,,1992,23689.266
North America,,1993,24130.574
North America,,1994,24709.016
North America,,1995,25017.742
North America,,1996,25829.11
North America,,1997,26249.809
North America,,1998,26486.703
North America,,1999,26840.008
North America,,2000,27708.137
North America,,2001,27266.031
North America,,2002,27601.043
North America,,2003,27827.76
North America,,2004,28404.861
North America,,2005,28566.713
North America,,2006,28301.406
North America,,2007,28821.195
North America,,2008,27982.004
North America,,2009,26439.062
North America,,2010,27300.55
North America,,2011,27023.695
North America,,2012,26467.086
North America,,2013,27028.75
North America,,2014,27226.934
North America,,2015,26946.69
North America,,2016,26691.71
North America,,2017,26658.176
North America,,2018,27586.697
North America,,2019,27287.105
North America,,2020,24725.746
North America,,2021,26131.893
North America,,2022,26612.219
North America,,2023,26319.234
South America,,1965,951.7456
South America,,1966,1009.1333
South America,,1967,1043.5453
South America,,1968,1115.017
South America,,1969,1162.5598
South America,,1970,1202.7058
South America,,1971,1271.6033
South America,,1972,1348.5446
South America,,1973,1477.9265
South America,,1974,1569.0627
