Country name,Year,Number of deaths from drought,Number of deaths from earthquakes,Number of deaths from disasters,Number of deaths from volcanic activity,Number of deaths from floods,Number of deaths from mass movements,Number of deaths from storms,Number of deaths from landslides,Number of deaths from wildfires
Afghanistan,1900,0,0,0,0,0,0,0,,0
Afghanistan,1910,0,0,0,0,0,0,0,,0
Afghanistan,1920,0,0,0,0,0,0,0,,0
Afghanistan,1930,0,0,0,0,0,0,0,,0
Afghanistan,1940,0,0,0,0,0,0,0,,0
Afghanistan,1950,0,210,215.1,0,5.1,0,0,,0
Afghanistan,1960,0,0,10.7,0,10.7,0,0,,0
Afghanistan,1970,0,6.1,48.2,0,32.1,0,0,,0
Afghanistan,1980,0,51.3,58.3,0,0,0,0,,0
Afghanistan,1990,0,742.6,1038.9,0,199,0,1,,0
Afghanistan,2000,3.7,123.6,447.5,0,116.3,0,33.1,,0
Afghanistan,2010,0,21.7,262.1,0,137,0,15.1,,0
Afghanistan,2020,0,703,969.4,0,206.4,0,2.6,,0
Africa,1900,1100,10,1111.7,1.7,0,0,0,,0
Africa,1910,8500,1.2,8501.2,0,0,0,0,,0
Africa,1920,2400,1.2,2701.2,0,300,0,0,,0
Africa,1930,0,2.2,2.2,0,0,0,0,,0
Africa,1940,5000,27.6,5044.1,0,0,0,16.5,,0
Africa,1950,0,128.3,216.2,0,23.7,0,64.2,,0
Africa,1960,205,1367.7,1753,0,134.3,0,15.2,,0
Africa,1970,11900,0,12095.7,21.2,132.8,0,41.5,,0.2
Africa,1980,55482.7,313.8,56257,178.3,165,7.7,108,,0.4
Africa,1990,16,79.9,983.9,0,731.7,4.7,113,,10.6
Africa,2000,109.4,333.5,1440,20.6,791.3,9.8,127.3,,15.4
Africa,2010,2000,3.1,3283.1,0,724.3,0,291.6,,7.1
Africa,2020,493,589.2,5690.4,6.4,1634.8,0,2879.4,,33.6
Albania,1900,0,12,12,0,0,0,0,,0
Albania,1910,0,0,0,0,0,0,0,,0
Albania,1920,0,20,20,0,0,0,0,,0
Albania,1930,0,15,15,0,0,0,0,,0
Albania,1940,0,4.3,4.3,0,0,0,0,,0
Albania,1950,0,0,0,0,0,0,0,,0
Albania,1960,0,2.6,2.6,0,0,0,0,,0
Albania,1970,0,3.5,3.5,0,0,0,0,,0
Albania,1980,0,0.1,12.6,0,0,0,0,,0
Albania,1990,0,0,1.5,0,1.5,0,0,,0
Albania,2000,0,0,1.5,0,0.4,0,0.8,,0
Albania,2010,0,5.1,6.6,0,0.4,0,0,,0
Albania,2020,0,0,70.4,0,0,0,0,,0
Algeria,1900,0,0,0,0,0,0,0,,0
Algeria,1910,0,1.2,1.2,0,0,0,0,,0
Algeria,1920,0,0,300,0,300,0,0,,0
Algeria,1930,0,0,0,0,0,0,0,,0
Algeria,1940,0,27.6,27.6,0,0,0,0,,0
Algeria,1950,0,125,127.5,0,2.5,0,0,,0
